"slug","tipo","legislatura","url-json","url-arnet-json","url-xml","url-arnet-xml"
"boletim-informativo-13","Boletim Informativo",13,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e5276637939436232786c64476c744a5449775357356d62334a7459585270646d387657456c4a535355794d45786c5a326c7a6247463064584a684c304a76624756306157314a626d5a76636d316864476c3262313971633239754c6e523464413d3d&fich=BoletimInformativo_json.txt&Inline=true",,,
"atividades-02","Atividades",2,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e52766379394264476c32615752685a47567a4c306c4a4a5449775447566e61584e7359585231636d457651585270646d6c6b5957526c63306c4a5832707a6232347564486830&fich=AtividadesII_json.txt&Inline=true",,,
"atividades-03","Atividades",3,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e52766379394264476c32615752685a47567a4c306c4a535355794d45786c5a326c7a6247463064584a684c30463061585a705a47466b5a584e4a53556c66616e4e76626935306548513d&fich=AtividadesIII_json.txt&Inline=true",,,
"atividades-04","Atividades",4,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e52766379394264476c32615752685a47567a4c306c574a5449775447566e61584e7359585231636d457651585270646d6c6b5957526c63306c575832707a6232347564486830&fich=AtividadesIV_json.txt&Inline=true",,,
"atividades-05","Atividades",5,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e52766379394264476c32615752685a47567a4c31596c4d6a424d5a57647063327868644856795953394264476c32615752685a47567a566c3971633239754c6e523464413d3d&fich=AtividadesV_json.txt&Inline=true",,,
"atividades-06","Atividades",6,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e52766379394264476c32615752685a47567a4c315a4a4a5449775447566e61584e7359585231636d457651585270646d6c6b5957526c63315a4a5832707a6232347564486830&fich=AtividadesVI_json.txt&Inline=true",,,
"atividades-07","Atividades",7,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e52766379394264476c32615752685a47567a4c315a4a535355794d45786c5a326c7a6247463064584a684c30463061585a705a47466b5a584e5753556c66616e4e76626935306548513d&fich=AtividadesVII_json.txt&Inline=true",,,
"atividades-08","Atividades",8,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e52766379394264476c32615752685a47567a4c315a4a53556b6c4d6a424d5a57647063327868644856795953394264476c32615752685a47567a566b6c4a53563971633239754c6e523464413d3d&fich=AtividadesVIII_json.txt&Inline=true",,,
"atividades-09","Atividades",9,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e52766379394264476c32615752685a47567a4c306c594a5449775447566e61584e7359585231636d457651585270646d6c6b5957526c63306c595832707a6232347564486830&fich=AtividadesIX_json.txt&Inline=true",,,
"atividades-10","Atividades",10,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e52766379394264476c32615752685a47567a4c31676c4d6a424d5a57647063327868644856795953394264476c32615752685a47567a57463971633239754c6e523464413d3d&fich=AtividadesX_json.txt&Inline=true",,,
"atividades-11","Atividades",11,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e52766379394264476c32615752685a47567a4c31684a4a5449775447566e61584e7359585231636d457651585270646d6c6b5957526c6331684a5832707a6232347564486830&fich=AtividadesXI_json.txt&Inline=true",,,
"atividades-12","Atividades",12,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e52766379394264476c32615752685a47567a4c31684a535355794d45786c5a326c7a6247463064584a684c30463061585a705a47466b5a584e5953556c66616e4e76626935306548513d&fich=AtividadesXII_json.txt&Inline=true",,,
"atividades-13","Atividades",13,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e52766379394264476c32615752685a47567a4c31684a53556b6c4d6a424d5a57647063327868644856795953394264476c32615752685a47567a57456c4a53563971633239754c6e523464413d3d&fich=AtividadesXIII_json.txt&Inline=true",,,
"atividade-deputado-cons","Atividade dos Deputados","Constituinte","http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e52766379394264476c32615752685a47556c4d6a426b62334d6c4d6a42455a5842316447466b62334d76513239756333527064485670626e526c4c30463061585a705a47466b5a55526c63485630595752765132397563313971633239754c6e523464413d3d&fich=AtividadeDeputadoCons_json.txt&Inline=true",,,
"atividade-deputado-01a","Atividade dos Deputados",1,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e52766379394264476c32615752685a47556c4d6a426b62334d6c4d6a42455a5842316447466b62334d76535355794d45786c5a326c7a6247463064584a684c30463061585a705a47466b5a55526c634856305957527653554666616e4e76626935306548513d&fich=AtividadeDeputadoIA_json.txt&Inline=true",,,
"atividade-deputado-01b","Atividade dos Deputados",1,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e52766379394264476c32615752685a47556c4d6a426b62334d6c4d6a42455a5842316447466b62334d76535355794d45786c5a326c7a6247463064584a684c30463061585a705a47466b5a55526c634856305957527653554a66616e4e76626935306548513d&fich=AtividadeDeputadoIB_json.txt&Inline=true",,,
"atividade-deputado-02","Atividade dos Deputados",2,"http://app.parlamento.pt/webutils/docs/doc.txt?path=6148523063446f764c324679626d56304c3239775a57356b595852684c3052685a47397a51574a6c636e52766379394264476c32615752685a47556c4d6a426b62334d6c4d6a42455a5842316447466b62334d7653556b6c4d6a424d5a57647063327868644856795953394264476c32615752685a4756455a5842316447466b62306c4a5832707a6232347564486830&fich=AtividadeDeputadoII_json.txt&Inline=true",,,
